Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,9,Spanish Grand Prix,Red Bull Racing,VER,3.0,10.0,1.0,Red Bull Racing
2025,9,Spanish Grand Prix,Mercedes,RUS,4.0,4.0,12.0,Mercedes
2025,9,Spanish Grand Prix,Ferrari,HAM,5.0,6.0,8.0,Ferrari
2025,9,Spanish Grand Prix,Mercedes,ANT,6.0,18.0,0.0,Mercedes
2025,9,Spanish Grand Prix,Ferrari,LEC,7.0,3.0,15.0,Ferrari
2025,9,Spanish Grand Prix,Alpine,GAS,8.0,8.0,4.0,Alpine/Renault
2025,9,Spanish Grand Prix,Racing Bulls,HAD,9.0,7.0,6.0,RB/AlphaTauri/Toro Rosso
2025,9,Spanish Grand Prix,Aston Martin,ALO,10.0,9.0,2.0,Aston Martin/Racing Point/Force India
2025,9,Spanish Grand Prix,Williams,ALB,11.0,19.0,0.0,Williams
2025,9,Spanish Grand Prix,Kick Sauber,BOR,12.0,12.0,0.0,Sauber/Alfa Romeo
2025,9,Spanish Grand Prix,Racing Bulls,LAW,13.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2025,9,Spanish Grand Prix,Aston Martin,STR,14.0,,0.0,Aston Martin/Racing Point/Force India
2025,9,Spanish Grand Prix,Haas F1 Team,BEA,15.0,17.0,0.0,Haas
2025,9,Spanish Grand Prix,Kick Sauber,HUL,16.0,5.0,10.0,Sauber/Alfa Romeo
2025,9,Spanish Grand Prix,Haas F1 Team,OCO,17.0,16.0,0.0,Haas
2025,9,Spanish Grand Prix,Williams,SAI,18.0,14.0,0.0,Williams
2025,9,Spanish Grand Prix,Alpine,COL,19.0,15.0,0.0,Alpine/Renault
2025,9,Spanish Grand Prix,Red Bull Racing,TSU,20.0,13.0,0.0,Red Bull Racing
2025,10,Canadian Grand Prix,Mercedes,RUS,1.0,1.0,25.0,Mercedes
2025,10,Canadian Grand Prix,Red Bull Racing,VER,2.0,2.0,18.0,Red Bull Racing
2025,10,Canadian Grand Prix,McLaren,PIA,3.0,4.0,12.0,McLaren
2025,10,Canadian Grand Prix,Mercedes,ANT,4.0,3.0,15.0,Mercedes
2025,10,Canadian Grand Prix,Ferrari,HAM,5.0,6.0,8.0,Ferrari
2025,10,Canadian Grand Prix,Aston Martin,ALO,6.0,7.0,6.0,Aston Martin/Racing Point/Force India
2025,10,Canadian Grand Prix,McLaren,NOR,7.0,18.0,0.0,McLaren
2025,10,Canadian Grand Prix,Ferrari,LEC,8.0,5.0,10.0,Ferrari
2025,10,Canadian Grand Prix,Racing Bulls,HAD,9.0,16.0,0.0,RB/AlphaTauri/Toro Rosso
2025,10,Canadian Grand Prix,Williams,ALB,10.0,20.0,0.0,Williams
2025,10,Canadian Grand Prix,Red Bull Racing,TSU,11.0,12.0,0.0,Red Bull Racing
2025,10,Canadian Grand Prix,Alpine,COL,12.0,13.0,0.0,Alpine/Renault
2025,10,Canadian Grand Prix,Kick Sauber,HUL,13.0,8.0,4.0,Sauber/Alfa Romeo
2025,10,Canadian Grand Prix,Haas F1 Team,BEA,14.0,11.0,0.0,Haas
2025,10,Canadian Grand Prix,Haas F1 Team,OCO,15.0,9.0,2.0,Haas
2025,10,Canadian Grand Prix,Kick Sauber,BOR,16.0,14.0,0.0,Sauber/Alfa Romeo
2025,10,Canadian Grand Prix,Williams,SAI,17.0,10.0,1.0,Williams
2025,10,Canadian Grand Prix,Aston Martin,STR,18.0,17.0,0.0,Aston Martin/Racing Point/Force India
2025,10,Canadian Grand Prix,Racing Bulls,LAW,19.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
2025,10,Canadian Grand Prix,Alpine,GAS,20.0,15.0,0.0,Alpine/Renault
2025,11,Austrian Grand Prix,McLaren,NOR,1.0,1.0,25.0,McLaren
2025,11,Austrian Grand Prix,Ferrari,LEC,2.0,3.0,15.0,Ferrari
2025,11,Austrian Grand Prix,McLaren,PIA,3.0,2.0,18.0,McLaren
2025,11,Austrian Grand Prix,Ferrari,HAM,4.0,4.0,12.0,Ferrari
2025,11,Austrian Grand Prix,Mercedes,RUS,5.0,5.0,10.0,Mercedes
2025,11,Austrian Grand Prix,Racing Bulls,LAW,6.0,6.0,8.0,RB/AlphaTauri/Toro Rosso
2025,11,Austrian Grand Prix,Red Bull Racing,VER,7.0,18.0,0.0,Red Bull Racing
