Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID
Aston Martin,2019,Acronis,Technology,Acronis,
Aston Martin,2019,Orangebus,Technology,Orangebus,
Aston Martin,2019,Pirelli,Automotive,Pirelli,
Aston Martin,2019,Ravenol,Automotive,Ravenol,
Aston Martin,2019,Univa,Technology,Univa,
Aston Martin,2019,3D Systems,Technology,3D Systems,
Aston Martin,2019,Condeco,Technology,Condeco,
Aston Martin,2019,Gtechniq,Automotive,Gtechniq,
Aston Martin,2019,Hackett,Fashion,Hackett,
Aston Martin,2019,ITEC,Industrial,ITEC,
Aston Martin,2019,RNT,Other,RNT,
Aston Martin,2019,SAS,Technology,SAS,
Aston Martin,2019,Schuberth,Automotive,Schuberth,
Aston Martin,2019,STL,Other,STL,
Aston Martin,2019,UPS Direct,Power/UPS,UPS Direct,
Aston Martin,2019,Voip Unlimited,Telecom,Voip Unlimited,
Red Bull,2019,Aston Martin,Automotive,Aston Martin,
Red Bull,2019,Rauch,Beverages/Food,Rauch,
Red Bull,2019,Honda,Automotive,Honda,
Red Bull,2019,Mobil1,Energy/Oil,Mobil1,
Red Bull,2019,Esso,Energy/Oil,Esso,
Red Bull,2019,Tag Heuer,Luxury Watches,Tag Heuer,
Red Bull,2019,Citrix,Technology,Citrix,
Red Bull,2019,Siemens,Industrial,Siemens,
Red Bull,2019,HP,Technology,HP,
Red Bull,2019,AT&T,Telecom,AT&T,
Red Bull,2019,IBM,Technology,IBM,
Red Bull,2019,W66.com,Gambling/Betting,W66.com,
Red Bull,2019,Puma,Apparel,Puma,
Red Bull,2019,Dita Eyewear,Fashion,Dita Eyewear,
Red Bull,2019,Pirelli,Automotive,Pirelli,
Alpine/Renault,2019,Castrol,Energy/Oil,Castrol,
Alpine/Renault,2019,Infiniti,Automotive,Infiniti,
Alpine/Renault,2019,RCI,Finance,RCI,
Alpine/Renault,2019,Mapfre,Insurance,Mapfre,
Alpine/Renault,2019,BP Ultimate,Energy/Oil,BP Ultimate,
Alpine/Renault,2019,Euro DataCar,Technology,Euro DataCar,
Alpine/Renault,2019,Bell & Ross,Luxury Watches,Bell & Ross,
Alpine/Renault,2019,Tmall,Ecommerce,Tmall,
Alpine/Renault,2019,Genii,Investment,Genii,
Alpine/Renault,2019,3D Systems,Technology,3D Systems,
Alpine/Renault,2019,Boeing,Aerospace,Boeing,
