Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,8,French Grand Prix,Haas F1 Team,GRO,10.0,11.0,0.0,Haas
2018,8,French Grand Prix,Force India,OCO,11.0,19.0,0.0,Aston Martin/Racing Point/Force India
2018,8,French Grand Prix,Renault,HUL,12.0,9.0,2.0,Alpine/Renault
2018,8,French Grand Prix,Force India,PER,13.0,18.0,0.0,Aston Martin/Racing Point/Force India
2018,8,French Grand Prix,Toro Rosso,GAS,14.0,20.0,0.0,RB/AlphaTauri/Toro Rosso
2018,8,French Grand Prix,Sauber,ERI,15.0,13.0,0.0,Sauber/Alfa Romeo
2018,8,French Grand Prix,McLaren,ALO,16.0,16.0,0.0,McLaren
2018,8,French Grand Prix,Toro Rosso,HAR,17.0,14.0,0.0,RB/AlphaTauri/Toro Rosso
2018,8,French Grand Prix,McLaren,VAN,18.0,12.0,0.0,McLaren
2018,8,French Grand Prix,Williams,SIR,19.0,15.0,0.0,Williams
2018,8,French Grand Prix,Williams,STR,20.0,17.0,0.0,Williams
2018,9,Austrian Grand Prix,Mercedes,BOT,1.0,19.0,0.0,Mercedes
2018,9,Austrian Grand Prix,Mercedes,HAM,2.0,16.0,0.0,Mercedes
2018,9,Austrian Grand Prix,Ferrari,VET,3.0,3.0,15.0,Ferrari
2018,9,Austrian Grand Prix,Ferrari,RAI,4.0,2.0,18.0,Ferrari
2018,9,Austrian Grand Prix,Red Bull Racing,VER,5.0,1.0,25.0,Red Bull Racing
2018,9,Austrian Grand Prix,Haas F1 Team,GRO,6.0,4.0,12.0,Haas
2018,9,Austrian Grand Prix,Red Bull Racing,RIC,7.0,18.0,0.0,Red Bull Racing
2018,9,Austrian Grand Prix,Haas F1 Team,MAG,8.0,5.0,10.0,Haas
2018,9,Austrian Grand Prix,Renault,SAI,9.0,12.0,0.0,Alpine/Renault
2018,9,Austrian Grand Prix,Renault,HUL,10.0,20.0,0.0,Alpine/Renault
2018,9,Austrian Grand Prix,Force India,OCO,11.0,6.0,8.0,Aston Martin/Racing Point/Force India
2018,9,Austrian Grand Prix,Toro Rosso,GAS,12.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2018,9,Austrian Grand Prix,Sauber,LEC,13.0,9.0,2.0,Sauber/Alfa Romeo
2018,9,Austrian Grand Prix,McLaren,ALO,14.0,8.0,4.0,McLaren
2018,9,Austrian Grand Prix,Williams,STR,15.0,14.0,0.0,Williams
2018,9,Austrian Grand Prix,McLaren,VAN,16.0,15.0,0.0,McLaren
2018,9,Austrian Grand Prix,Force India,PER,17.0,7.0,6.0,Aston Martin/Racing Point/Force India
2018,9,Austrian Grand Prix,Williams,SIR,18.0,13.0,0.0,Williams
2018,9,Austrian Grand Prix,Toro Rosso,HAR,19.0,17.0,0.0,RB/AlphaTauri/Toro Rosso
2018,9,Austrian Grand Prix,Sauber,ERI,20.0,10.0,1.0,Sauber/Alfa Romeo
2018,10,British Grand Prix,Mercedes,HAM,1.0,2.0,18.0,Mercedes
2018,10,British Grand Prix,Ferrari,VET,2.0,1.0,25.0,Ferrari
2018,10,British Grand Prix,Ferrari,RAI,3.0,3.0,15.0,Ferrari
2018,10,British Grand Prix,Mercedes,BOT,4.0,4.0,12.0,Mercedes
2018,10,British Grand Prix,Red Bull Racing,VER,5.0,15.0,0.0,Red Bull Racing
2018,10,British Grand Prix,Red Bull Racing,RIC,6.0,5.0,10.0,Red Bull Racing
2018,10,British Grand Prix,Haas F1 Team,MAG,7.0,9.0,2.0,Haas
2018,10,British Grand Prix,Haas F1 Team,GRO,8.0,16.0,0.0,Haas
2018,10,British Grand Prix,Sauber,LEC,9.0,19.0,0.0,Sauber/Alfa Romeo
2018,10,British Grand Prix,Force India,OCO,10.0,7.0,6.0,Aston Martin/Racing Point/Force India
2018,10,British Grand Prix,Renault,HUL,11.0,6.0,8.0,Alpine/Renault
2018,10,British Grand Prix,Force India,PER,12.0,10.0,1.0,Aston Martin/Racing Point/Force India
2018,10,British Grand Prix,McLaren,ALO,13.0,8.0,4.0,McLaren
2018,10,British Grand Prix,Toro Rosso,GAS,14.0,13.0,0.0,RB/AlphaTauri/Toro Rosso
2018,10,British Grand Prix,Sauber,ERI,15.0,18.0,0.0,Sauber/Alfa Romeo
2018,10,British Grand Prix,Renault,SAI,16.0,17.0,0.0,Alpine/Renault
2018,10,British Grand Prix,McLaren,VAN,17.0,11.0,0.0,McLaren
2018,10,British Grand Prix,Williams,SIR,18.0,14.0,0.0,Williams
2018,10,British Grand Prix,Williams,STR,19.0,12.0,0.0,Williams
2018,10,British Grand Prix,Toro Rosso,HAR,20.0,20.0,0.0,RB/AlphaTauri/Toro Rosso
2018,11,German Grand Prix,Ferrari,VET,1.0,18.0,0.0,Ferrari
2018,11,German Grand Prix,Mercedes,BOT,2.0,2.0,18.0,Mercedes
2018,11,German Grand Prix,Ferrari,RAI,3.0,3.0,15.0,Ferrari
2018,11,German Grand Prix,Red Bull Racing,VER,4.0,4.0,12.0,Red Bull Racing
2018,11,German Grand Prix,Haas F1 Team,MAG,5.0,11.0,0.0,Haas
